Day       Month     Year      Tmin(C)        Tmax(C)        Prcp(mm)       Et0(mm)        
1         1         1982      -21.11         3.33           0.00           1.38           
2         1         1982      -10.00         0.56           0.00           1.07           
3         1         1982      -11.67         -2.22          0.00           0.74           
4         1         1982      -12.22         7.22           0.00           1.70           
5         1         1982      -14.44         -1.11          0.00           0.93           
6         1         1982      -22.22         -13.33         0.00           0.28           
7         1         1982      -22.78         -0.56          0.00           1.00           
8         1         1982      -20.00         7.22           0.00           1.97           
9         1         1982      -19.44         0.56           0.00           1.11           
10        1         1982      -23.89         -16.67         0.00           0.37           
11        1         1982      -22.78         -6.67          0.00           0.65           
12        1         1982      -24.44         -12.22         0.00           0.35           
13        1         1982      -24.44         -0.56          0.00           0.86           
14        1         1982      -1.67          9.44           0.00           2.02           
15        1         1982      -18.89         2.78           0.00           1.36           
16        1         1982      -20.56         -6.67          0.00           0.78           
17        1         1982      -11.67         16.67          0.00           3.18           
18        1         1982      -7.78          10.00          0.00           1.33           
19        1         1982      -10.56         -1.67          0.00           0.51           
20        1         1982      -10.00         -1.67          0.00           0.40           
21        1         1982      -13.89         -8.89          0.00           0.29           
22        1         1982      -20.56         -12.78         0.00           0.30           
23        1         1982      -23.33         -3.89          0.00           0.61           
24        1         1982      -17.78         11.11          0.00           2.00           
25        1         1982      -5.00          7.78           0.00           1.78           
26        1         1982      -6.67          18.89          0.00           2.81           
27        1         1982      -6.11          11.11          0.00           2.27           
28        1         1982      -10.00         7.22           0.00           1.85           
29        1         1982      -9.44          6.11           0.00           1.65           
30        1         1982      -12.22         8.33           0.00           1.66           
31        1         1982      -10.56         9.44           0.00           1.55           
1         2         1982      -8.33          -2.22          0.00           0.43           
2         2         1982      -12.78         -4.44          0.00           0.50           
3         2         1982      -20.00         -10.56         0.00           0.36           
4         2         1982      -22.78         -16.11         0.00           0.28           
5         2         1982      -27.22         -16.11         0.00           0.25           
6         2         1982      -27.22         -16.11         0.00           0.23           
7         2         1982      -27.22         -16.11         0.00           0.20           
8         2         1982      -27.22         -16.11         0.00           0.18           
9         2         1982      -27.22         -16.11         0.00           0.16           
10        2         1982      -27.22         -16.11         0.00           0.15           
11        2         1982      -27.22         -1.08          0.00           0.63           
12        2         1982      -15.20         7.16           0.00           1.47           
13        2         1982      -8.62          12.90          0.00           2.51           
14        2         1982      -2.27          15.48          0.00           2.75           
15        2         1982      -0.03          15.44          0.00           2.30           
16        2         1982      -3.39          15.60          0.00           2.03           
17        2         1982      -1.14          14.72          0.00           2.26           
18        2         1982      -2.22          15.89          0.00           2.42           
19        2         1982      -1.14          18.59          0.00           3.40           
20        2         1982      1.97           18.67          0.00           3.88           
21        2         1982      1.41           22.70          0.00           3.94           
22        2         1982      -0.38          24.72          0.00           4.95           
23        2         1982      -4.05          1.08           0.00           0.67           
24        2         1982      -6.77          3.56           0.00           1.64           
25        2         1982      -8.07          0.67           0.00           1.10           
26        2         1982      -8.55          7.70           0.00           2.17           
27        2         1982      -5.22          13.75          0.00           2.80           
28        2         1982      -1.31          12.89          0.00           2.56           
1         3         1982      -3.56          19.75          0.00           3.81           
2         3         1982      -6.83          10.69          0.00           1.95           
